a-profile href,a-profile-avatar src,a-profile-name,a-size-base href,a-icon-alt,cr-original-review-content,a-size-base,a-size-mini href,a-size-mini,a-link-normal href,a-size-mini (2),cr-original-review-content (2),review-image-tile src,review-image-tile src (2),review-image-tile src (3),a-size-base (2),cr-helpful-text,a-size-base href (2),a-size-base href (3),review-image-tile src (4),新增列
https://www.amazon.com/-/zh/gp/profile/amzn1.account.AGH7PE5ADMKQ3ASCRH7NHBJUYWPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/ef0918c9-c256-44bc-81eb-878099c76ba5._CR0,51.0,231,231_SX48_.jpg",EG,https://www.amazon.com/-/zh/gp/customer-reviews/R1BS6O8XNFLE5M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BWDQVJBQ,5.0 颗星，最多 5 颗星,Great kit,2024年8月18日 在美国审核,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,尺寸: 10012,https://www.amazon.com/-/zh/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G8UYX7LALQC8V9KA,已确认购买,"My first Mould King kit and I couldn’t be happier. No missing parts, for the most part a very smooth build. Ran into a few issues with the lower front end. And some of the grill and rear grill plating pieces were extremely loose and needed some glue.
The overall construction was great, sometimes instruction view left you scratching your head, but after a while you understand what you need to do. Most kits I have done there is always a couple of snafus where you have to take apart an assembly to reconstruct it, but that’s part of the hobby and I don’t mind it. That said the build on this was very enjoyable and straightforward. The two sword windshield wipers are a great touch.
This kit when put together, is a great show piece. The wing back tail is iconic for cars if that era. I look forward to building a few more kits I have collected from Mould Kings. And lastly you just can’t beat the price. If this was a Lego kit you would pay minimum twice what it is on sale for. Happy building my friends!",https://m.media-amazon.com/images/I/71JIfH7ZPdL._SY88.jpg,https://m.media-amazon.com/images/I/71UEAnoaa9L._SY88.jpg,https://m.media-amazon.com/images/I/71UyAUnhpeL._SY88.jpg,4 个人发现此评论有用,有帮助,https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDBO3J%2BXvMW8cNbrIqycG8Uw5JM%2BNXv5cjbShN8XkIULAAAAAGgjNvkAAAAB&reviewId=R1BS6O8XNFLE5M,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#customerReviews,,aaa
https://www.amazon.com/-/zh/gp/profile/amzn1.account.AG3RMJF2FY7R3VTJMPYD5NDQAYTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",whiplash326,https://www.amazon.com/-/zh/gp/customer-reviews/RSMAQGQJNTA7L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BWDQVJBQ,5.0 颗星，最多 5 颗星,Great building set!!!,2025年4月19日 在美国审核,https://www.amazon.com/-/zh/product-reviews/B0DFYC1JH2/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,尺寸: 10118,https://www.amazon.com/-/zh/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G8UYX7LALQC8V9KA,已确认购买,"Beautiful when finished, fun build. No missing pieces, great instructions. Will definitely try more Mould King builds in the future. Highly recommend.",https://m.media-amazon.com/images/I/713rNrB3pYL._SY88.jpg,https://m.media-amazon.com/images/I/71EpVWaMmbL._SY88.jpg,https://m.media-amazon.com/images/I/71piKvN0Y4L._SY88.jpg,1 个人发现此评论有用,有帮助,https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJYqrirVSLsGrB3hb%2B2O4gnAOkL3WLgUcg6MnQmL4dygAAAAAGgjNvkAAAAB&reviewId=RSMAQGQJNTA7L,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#customerReviews,,aaa
https://www.amazon.com/-/zh/gp/profile/amzn1.account.AEO5FUPLXQLB3GTKNDGMKHOS4HRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",McFly,https://www.amazon.com/-/zh/gp/customer-reviews/R33Y8OHT56WIZ4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BWDQVJBQ,5.0 颗星，最多 5 颗星,Super cool,2025年3月3日 在美国审核,https://www.amazon.com/-/zh/product-reviews/B0DFYC1JH2/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,尺寸: 10118,https://www.amazon.com/-/zh/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G8UYX7LALQC8V9KA,已确认购买,"Its an amazing build for price, only complaint is the roof isn’t as solid and falls down easy but that can be corrected afterall its exactly like legos and far superior to the old megablocks kits. Also the vehicle height is adjustable front and back by just pulling wheels down in a clicking type of function giving an air ride look",https://m.media-amazon.com/images/I/61L7QKHickL._SY88.jpg,,,,有帮助,https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBdOwI5pOMUISy4St0p4b1JK%2FiEb%2BgPEn2g5UI8v7R8fAAAAAGgjNvkAAAAB&reviewId=R33Y8OHT56WIZ4,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#customerReviews,,aaa
https://www.amazon.com/-/zh/gp/profile/amzn1.account.AGB5OWHV4OPY66YJV6FMS7WDHORQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/65b5cbc7-7e06-4218-bfc3-b28cab0581b2._CR1,0,497,497_SX48_.jpg",mad_hatter25,https://www.amazon.com/-/zh/gp/customer-reviews/R32X3O91JDPP4Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BWDQVJBQ,4.0 颗星，最多 5 颗星,Great Build,2023年6月8日 在美国审核,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,尺寸: 10012,https://www.amazon.com/-/zh/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G8UYX7LALQC8V9KA,已确认购买,"Edit: Their customer service is excellent. They did reach out to correct/replace the missing pieces. For the price point, it is a great set and I do plan to purchase more sets from them.

Great design and decent quality. Only real issue is missing several (8) important pieces. Was able to substitute the missing pieces to finish the build.",,,,2 个人发现此评论有用,有帮助,https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNcGFwQ1y6WwSc2lpp%2BmQAGyEE1eqXYZyl7sCz4MdwkTAAAAAGgjNvkAAAAB&reviewId=R32X3O91JDPP4Q,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#customerReviews,,aaa
https://www.amazon.com/-/zh/gp/profile/amzn1.account.AE4OC7NKSJKK7YKSSFOWPMNZDC2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",tstarr,https://www.amazon.com/-/zh/gp/customer-reviews/R3AFAMZD5AV3JM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BWDQVJBQ,5.0 颗星，最多 5 颗星,Mould King Convertible,2025年4月10日 在美国审核,https://www.amazon.com/-/zh/product-reviews/B0DFYC1JH2/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,尺寸: 10118,https://www.amazon.com/-/zh/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G8UYX7LALQC8V9KA,已确认购买,"Fun & challenging to build!
Not for the beginner.",,,,,有帮助,https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEGksaadTFfPWgxNPIp1FyHy8wtY%2F7H2VdQUm752mSQRAAAAAGgjNvkAAAAB&reviewId=R3AFAMZD5AV3JM,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#customerReviews,,aaa
https://www.amazon.com/-/zh/gp/profile/amzn1.account.AHZI2X7PZN3JS6BW6ATCQJCI4RYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Steven Williams,https://www.amazon.com/-/zh/gp/customer-reviews/RAU8DO0AVFMT1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BWDQVJBQ,3.0 颗星，最多 5 颗星,Patience,2024年12月5日 在美国审核,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,尺寸: 10012,https://www.amazon.com/-/zh/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G8UYX7LALQC8V9KA,已确认购买,"Loose fitting parts, improper alignment of the back seat, required modification. Otherwise was a good build, three way adjustable suspension is nice, only two missing pieces.",,,,,有帮助,https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHmssM0lCBby12XYmHsjn7HF0X9%2FPJ18ODDnxrvG7BBCAAAAAGgjNvkAAAAB&reviewId=RAU8DO0AVFMT1,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#customerReviews,,aaa
https://www.amazon.com/-/zh/gp/profile/amzn1.account.AFCI2RHLULYMXDBMSDMEMR4DBKGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/4491cb47-2c72-4d56-b936-f5f0cb5ef39f._CR0,0,500,500_SX48_.jpg",Laura,https://www.amazon.com/-/zh/gp/customer-reviews/R2OQZM735FL7L2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BWDQVJBQ,5.0 颗星，最多 5 颗星,Perfect for the collection,2025年3月15日 在美国审核,https://www.amazon.com/-/zh/product-reviews/B0DFYC1JH2/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,尺寸: 10118,https://www.amazon.com/-/zh/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G8UYX7LALQC8V9KA,已确认购买,Super gift for the adult car collector. My son has a car that he is is restoring exactly like this one. So this was an awesome gift. He loves it. Great quality. Many small pieces. He had to use tweezers and curved pliers for the super small pieces. I wouldn't recommend this product for children. The pieces do stick together well.,,,,,有帮助,https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEHwvLOGMayz6nZOsEKf4odHFhUIPmD7iwrZ3sjKo0nTAAAAAGgjNvkAAAAB&reviewId=R2OQZM735FL7L2,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#customerReviews,,aaa
https://www.amazon.com/-/zh/gp/profile/amzn1.account.AEN6YXMFLCMJPPBFNTBATN3WGXSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",JOSEPH WELCH,https://www.amazon.com/-/zh/gp/customer-reviews/R1VZC9NZTSH9YO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BWDQVJBQ,5.0 颗星，最多 5 颗星,Great,2025年4月21日 在美国审核,https://www.amazon.com/product-reviews/B0BWDQVJBQ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,尺寸: 10012,https://www.amazon.com/-/zh/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G8UYX7LALQC8V9KA,已确认购买,Was a great build looks great with my Lego cars and a third of the price,,,,,有帮助,https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFvMh9tDf4BKZpIdhjV2gDyW26NoRthfynK4LBJjvSyzAAAAAGgjNvkAAAAB&reviewId=R1VZC9NZTSH9YO,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#customerReviews,,aaa
https://www.amazon.com/-/zh/gp/profile/amzn1.account.AF7D3QHR6KIV4FXKR6LUDTBFNOKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Amazon Customer,https://www.amazon.com/-/zh/gp/customer-reviews/R2XG1PZZZG87WU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BWDQVJBQ,5.0 颗星，最多 5 颗星,That my grandson liked his gift!,2025年5月3日 在美国审核,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,尺寸: 10012,https://www.amazon.com/-/zh/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G8UYX7LALQC8V9KA,已确认购买,My grandson was absolutely delighted!!! It’s a great idea and he was very happy putting it together and now playing with it!!,,,,,有帮助,https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hB2mPSFZNfNq%2FkDz34Ae66S3%2BGFx04HupH3OSbiQ9ZzRAAAAAGgjNvkAAAAB&reviewId=R2XG1PZZZG87WU,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#customerReviews,,aaa
https://www.amazon.com/-/zh/gp/profile/amzn1.account.AFEAQ3ZAQZTLFK2LC67UJRA2GZPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Ashesh Trivedi,https://www.amazon.com/-/zh/gp/customer-reviews/R52U1D6PTUKWP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BWDQVJBQ,4.0 颗星，最多 5 颗星,Great looking,2025年3月15日 在美国审核,https://www.amazon.com/-/zh/product-reviews/B0DFYC1JH2/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format,尺寸: 10118,https://www.amazon.com/-/zh/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G8UYX7LALQC8V9KA,已确认购买,The car is great...build was straight forward...only thing the trunk doesn't open by itself...must be removed which makes it pointless having a spare tire in trunk if can't you lift the trunk lid,,,,,有帮助,https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGkt0yFQBVVm4ZvLTTISiXzpqvgg19osKOVskxxdEHiCAAAAAGgjNvkAAAAB&reviewId=R52U1D6PTUKWP,https://www.amazon.com/-/zh/product-reviews/B0BWDQVJBQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#customerReviews,,aaa
